Source Url,Target Url,Anchor,Source Title,Target Title,Page Ascore,Domain Ascore,Response Code,First Seen,Last Seen,External Link Num,Internal Link Num,Source Size,Ip,Lang,Position,Nofollow,Sponsored,Ugc,Redirect,Text,Image,Form,Frame,Sitewide,Newlink,Lostlink,Lost Due,Redirect Url,Redirect Code,Image Url,Image Alt,Author Id,Author Name,Platform,Mobile,Canonical,Canonical Resolved,Urlanchor
https://www.gsmarena.com/tecno_pop_8-reviews-12644p2.php,https://www.shoppingjin.pk/product/techno-spark-8-pro/,https://www.shoppingjin.pk/product/techno-spark-8-pro/,Tecno Pop 8 - User opinions and reviews - page 2,,20,87,200,2025-12-24 18:46:26,2026-04-13 20:08:06,13,123,50005,148.251.96.211,en,,Yes,No,No,No,Yes,No,No,No,No,No,No,,,0,,,0,,,No,No,No,Yes
https://www.credaipune.org/,https://www.shoppingjin.pk/prices/home-appliances/ups/,situs toto 4d,CREDAI-Pune | Property in Pune | Flats in Pune | Best Pune Properties,,19,26,200,2026-05-04 13:18:29,2026-05-04 13:18:29,2347,44,275676,178.16.136.236,en,,No,No,No,No,Yes,No,No,No,No,Yes,No,,,0,,,0,,,Yes,No,No,No
http://www.zslelekovice.cz/,https://www.shoppingjin.pk/loyalty-program/,mahjong ways 2,ZŠ Lelekovice,,17,2,200,2026-04-21 13:23:19,2026-04-21 13:23:19,4867,84,347375,81.91.86.12,en,,No,No,No,No,Yes,No,No,No,No,No,No,,,0,,,0,,,Yes,No,No,No
https://www.change.org/p/control-on-cfcs-and-save-the-environment,https://www.shoppingjin.pk/,https://www.shoppingjin.pk/,Petition · Control on CFCs and save the environment - United States · Change.org,,16,66,200,2025-09-02 13:21:01,2026-04-05 01:30:20,8,44,295566,104.17.89.51,en,content,No,No,No,No,Yes,No,No,No,No,No,No,,,0,,,11955392730039804000,Sinan Moin,,Yes,No,No,Yes
https://www.googlenestcommunity.com/t5/Home-Automation/Ac-turns-on-when-it-s-cool-out/m-p/637085,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,ac,Ac turns on when it's cool out - Google Nest Community,,11,46,200,2025-08-16 21:52:29,2025-12-27 20:21:09,17,71,567518,3.167.99.75,en,,Yes,No,No,No,Yes,No,No,No,No,No,No,,,0,,,0,,,Yes,No,No,No
https://www.kitandkimtechnicalcampus.org/,https://www.shoppingjin.pk/prices/home-appliances/ups/,situs toto 4d,Home | KIT and KIM Technical Campus,,11,22,200,2026-05-01 01:16:35,2026-05-01 01:16:35,2194,38,343937,195.200.9.93,en,,No,No,No,No,Yes,No,No,No,No,Yes,No,,,0,,,0,,,Yes,No,No,No
https://lavenderblush-owl-174515.hostingersite.com/product-category/brands/page/2/,https://www.shoppingjin.pk/all/charging-time/8hr/,8hr,BRANDS – Page 2 – lavenderblush-owl-174515.hostingersite.com,,10,42,200,2025-09-05 11:48:32,2026-04-21 06:26:43,2,300,384945,88.223.87.200,en,content,No,No,No,No,Yes,No,No,No,No,No,No,,,0,,,0,,"blog, ecommerce",Yes,No,No,No
https://www.sitelike.org/similar/shoppingjin.pk/,https://www.shoppingjin.pk/,shoppingjin.pk,Top 63 Sites like shoppingjin.pk – Similar Websites & Alternatives,,10,41,200,2025-10-31 07:51:19,2026-02-23 10:54:41,17,258,649700,172.67.69.134,en,content,Yes,No,No,No,No,Yes,No,No,No,No,No,,,0,https://www.sitelike.org/images/external-link.jpg,shoppingjin.pk,0,,,Yes,No,No,Yes
http://www.assetintegritygroup.com/,https://www.shoppingjin.pk/loyalty-program/,mahjong ways 2,"Asset Integrity Group Nepal Rope Access Training and Operation Kathmandu IRATA SSPC NDT Welding Sandblasting Arbor Rope Access Training and Operation Centre in Kathmandu, Nepal",,7,2,200,2026-04-21 08:37:39,2026-04-21 08:37:39,4867,14,354624,104.21.44.60,zxx,,No,No,No,No,Yes,No,No,No,No,No,No,,,0,,,0,,,Yes,No,No,No
https://klikviral.com/,https://www.shoppingjin.pk/prices/home-appliances/ups/,situs toto 4d,Klik Viral - Sekali Klik Viral,,7,6,200,2026-05-18 05:30:51,2026-05-18 05:30:51,2773,75,320749,212.1.212.117,id,,No,No,No,No,Yes,No,No,No,No,Yes,No,,,0,,,0,,blog,Yes,No,No,No
